,0
379,LABOUR FORCE STATUS OF PERSONS BORN OVERSEAS Labour Force number  no.
380,LABOUR FORCE STATUS OF PERSONS BORN OVERSEAS Unemployed number  no.
381,LABOUR FORCE STATUS OF PERSONS BORN OVERSEAS Participation Rate  %
382,LABOUR FORCE STATUS OF PERSONS BORN OVERSEAS Unemployment Rate  %
383,"TOTAL PERSONAL INCOME (WEEKLY) OF PERSONS BORN OVERSEAS, 15 YEARS AND OVER Persons earning $1-$499 per week  %"
384,"TOTAL PERSONAL INCOME (WEEKLY) OF PERSONS BORN OVERSEAS, 15 YEARS AND OVER Persons earning $500-$999 per week  %"
385,"TOTAL PERSONAL INCOME (WEEKLY) OF PERSONS BORN OVERSEAS, 15 YEARS AND OVER Persons earning $1000-$1999 per week  %"
386,"TOTAL PERSONAL INCOME (WEEKLY) OF PERSONS BORN OVERSEAS, 15 YEARS AND OVER Persons earning $2000-$2999 per week  %"
387,"TOTAL PERSONAL INCOME (WEEKLY) OF PERSONS BORN OVERSEAS, 15 YEARS AND OVER Persons earning $3000 or more per week  %"
388,"TOTAL PERSONAL INCOME (WEEKLY) OF PERSONS BORN OVERSEAS, 15 YEARS AND OVER Persons earning nil income  %"
389,"TOTAL PERSONAL INCOME (WEEKLY) OF PERSONS BORN OVERSEAS, 15 YEARS AND OVER Persons with a negative income  %"
390,"TOTAL PERSONAL INCOME (WEEKLY) OF PERSONS BORN OVERSEAS, 15 YEARS AND OVER Income not stated  %"
391,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE) Persons 0-14 years %"
392,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  15-24 years %"
393,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  25-34 years %"
394,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  35-44 years %"
395,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  45-54 years %"
396,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  55-64 years %"
397,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  65-74 years %"
398,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  75-84 years %"
399,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  85 years and over %"
400,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE) Males 0-4 years no."
401,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  5-9 years no."
402,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  10-14 years no."
403,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  15-19 years no."
404,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  20-24 years no."
405,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  25-29 years no."
406,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  30-34 years no."
407,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  35-39 years no."
408,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  40-44 years no."
409,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  45-49 years no."
410,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  50-54 years no."
411,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  55-59 years no."
412,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  60-64 years no."
413,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  65-69 years no."
414,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  70-74 years no."
415,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  75-79 years no."
416,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  80-84 years no."
417,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  85 years and over no."
418,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  Total no."
419,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE) Females 0-4 years no."
420,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE) Persons 0-4 years no."
421,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  Working Age Population (15-64 years) %"
422,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE) Median Age - Usual Residents, ERP at 30 June Males years"
423,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  Females years"
424,"ESTIMATED RESIDENT POPULATION (USUAL RESIDENTS, ERP AT 30 JUNE)  Persons years"
425,BIRTHS AND DEATHS Births  no.
426,BIRTHS AND DEATHS Total Fertility Rate (per female)  rate
427,BIRTHS AND DEATHS Deaths  no.
428,"BIRTHS AND DEATHS Standardised Death Rate (per 1,000 population)  rate"
429,POPULATION DENSITY Population density  persons/km2
430,ABORIGINAL AND TORRES STRAIT ISLANDER PEOPLES Proportion of total population  %
431,"OVERSEAS BORN POPULATION (PROPORTION OF TOTAL POPULATION) Born in Oceania, Antarctica (excl. Australia)  %"
432,OVERSEAS BORN POPULATION (PROPORTION OF TOTAL POPULATION) Born in North-West Europe  %
433,OVERSEAS BORN POPULATION (PROPORTION OF TOTAL POPULATION) Born in Southern & Eastern Europe  %
434,"OVERSEAS BORN POPULATION (PROPORTION OF TOTAL POPULATION) Born in North Africa, Middle East  %"
435,OVERSEAS BORN POPULATION (PROPORTION OF TOTAL POPULATION) Born in South-East Asia  %
436,OVERSEAS BORN POPULATION (PROPORTION OF TOTAL POPULATION) Born in North-East Asia  %
437,"OVERSEAS BORN POPULATION (PROPORTION OF TOTAL POPULATION) Born in Southern, Central Asia  %"
438,OVERSEAS BORN POPULATION (PROPORTION OF TOTAL POPULATION) Born in Americas  %
439,OVERSEAS BORN POPULATION (PROPORTION OF TOTAL POPULATION) Born in Sub-Saharan Africa  %
440,OVERSEAS BORN POPULATION (PROPORTION OF TOTAL POPULATION) Total Born Overseas  %
441,RELIGIOUS AFFILIATION Buddhism   %
442,RELIGIOUS AFFILIATION Christianity   %
443,RELIGIOUS AFFILIATION Hinduism   %
444,RELIGIOUS AFFILIATION Islam  %
445,RELIGIOUS AFFILIATION Judaism   %
446,RELIGIOUS AFFILIATION Other Religions   %
447,"RELIGIOUS AFFILIATION Secular Beliefs, Other Spiritual Beliefs and No Religious Affiliation  %"
448,RELIGIOUS AFFILIATION Inadequately described or not stated   %
449,AUSTRALIAN CITIZENSHIP Australian citizen  %
450,AUSTRALIAN CITIZENSHIP Not an Australian citizen  %
451,AUSTRALIAN CITIZENSHIP Australian Citizenship - Not stated  %
452,SPEAKS A LANGUAGE OTHER THAN ENGLISH AT HOME Proportion of total population  %
453,lat
454,long
